ID,plane,src,dest,flightnr,callsign,start,endTime
216,216,ALA,STN,OZ793,AAR793,1662969210,1662969210
217,217,VIE,WAW,SOW5,SOW5,1662969208,1662971762
218,218,SAW,STN,PC1169,PGT28T,1662969208,1662969208
219,219,TSR,,,ROF810,1662969207,1662969207
220,220,AMS,TLV,HV5801,TRA5801,1662969208,1662973612
221,221,RIX,ARW,V35101,KRP5101,1662969207,1662969207
222,222,,,,AS50,1662969207,1662969207
223,223,RMF,PRG,QS1223,TVS6VY,1662969210,1662973612
224,224,LIN,,,QAV25B,1662969209,1662969209
225,225,MAN,OTP,FR1271,RYR9532,1662969208,1662969208
226,226,AYT,KIV,TI4401,TWI4401,1662969208,1662969208
227,227,LTN,SCV,W93606,WUK1DW,1662969209,1662969209
228,228,,,,C25A,1662969208,1662969208
229,229,KRK,WAW,,PLF117,1662969206,1662969206
230,230,ZTH,TSR,A24313,AWG4313,1662969209,1662969209
231,231,WAW,VCE,LO309,LOT3RM,1662969208,1662973614
232,232,TSR,FKB,W63545,WZZ106B,1662969210,1662969210
233,233,,,,TURBO56,1662969206,1662969206
234,234,GDN,WAW,LO3832,LOT3YG,1662969208,1662969862
235,235,DEB,,,HAENM,1662969209,1662969209
236,236,EDI,KRK,U26939,EZY6939,1662969208,1662969208
237,237,BAH,LEJ,3S303,BOX303,1662969209,1662969209
238,238,DME,VOG,S72141,CTU2141,1662969208,1662969862
239,239,SAW,HAM,TK7882,THY9DM,1662969207,1662969207
240,240,DUS,IST,TK1530,THY5WS,1662969208,1662972779
241,241,AYT,VKO,,THY3TX,1662969210,1662969210
242,242,RHO,GDN,3Z7475,TVP7475,1662969207,1662969207
243,243,BUD,OTP,RO232,ROT232K,1662969210,1662969210
244,244,AMS,SAW,PC1256,PGT33J,1662969210,1662969210
245,245,DEB,,,HAENM,1662969209,1662969209
246,246,NCL,BOJ,LS599,EXS2AR,1662969209,1662969209
247,247,QEI,,,,1662969135,1662969135
248,248,SAW,BRU,TK7720,THY4ZX,1662969207,1662973614
249,249,ATH,ARN,A3760,AEE7RN,1662969207,1662973613
250,250,PZY,,,OMKLO,1662969206,1662969206
251,251,IST,IAD,,THY3EM,1662969208,1662969208
252,252,WAW,ZRH,LX1343,SWR137Q,1662969207,1662973612
253,253,EDI,OTP,FR5614,RYR48DK,1662969210,1662969210
254,254,PRG,OSR,,CAA58,1662969208,1662969208
255,255,AYT,VKO,,THY7AK,1662969209,1662969209
256,256,IST,WAW,TK1265,THY4KR,1662969208,1662969712
257,257,TSR,,,ROF810,1662969207,1662969207
258,258,,,,SPVER,1662969208,1662969208
259,259,KVA,VNO,3Z7437,TVP7437,1662969208,1662975097
260,260,,,,TURBO46,1662969207,1662969207
261,261,,,,B350,1662969209,1662969209
262,262,,,,SPLFK,1662969209,1662969209
263,263,AYT,LED,TK1233,THY7MZ,1662969209,1662969209
264,264,,,,SPLFG,1662969208,1662969208
265,265,AYT,KRK,RR7258,RYS7258,1662969210,1662969210
266,266,LCJ,,,BNI8P,1662969210,1662969210
267,267,AYT,LTN,XQ530,SXS2AY,1662969209,1662973614
268,268,LCJ,WMI,,BNI8AX,1662969208,1662969208
269,269,AYT,VKO,,THY8FQ,1662969207,1662969207
270,270,LCJ,CZW,,BNI8T,1662969208,1662969208
271,271,FRA,ICN,KE530,KAL530,1662969210,1662975097
272,272,,,,,1662969193,1662969193
273,273,BOJ,WMI,FR3370,RYR3RU,1662969207,1662969207
274,274,LCJ,,,BNI8I,1662969206,1662969206
275,275,AYT,VKO,TK3654,THY8ZE,1662969209,1662969209
276,276,,,RSD194,RSD194,1662969209,1662969779
277,277,SAW,CPH,TK7840,THY1HX,1662969209,1662969209
278,278,,,,TURBO47,1662969207,1662969207
279,279,,,,SQF2718,1662969207,1662969207
280,280,SAW,BER,TK7728,THY7EZ,1662969209,1662969209
281,281,BUD,IST,TK1036,THY1UC,1662969210,1662969210
282,282,AYT,KSC,ED9023,AXE9023,1662969208,1662969208
283,283,BUD,ZRH,LX2251,SWR225W,1662969202,1662969202
284,284,IST,LUX,TK1353,THY7MW,1662969210,1662973612
285,285,CRL,KRK,,N143QS,1662969206,1662969206
286,286,ARN,LCA,DK1632,VKG1632,1662969207,1662969207
287,287,HAM,VAR,W64520,WZZ100M,1662969208,1662971985
288,288,KTW,KVA,RR3775,RYS3775,1662969206,1662969206
289,289,VAR,DRS,SR7217,SDR71DN,1662969208,1662969208
290,290,WAW,CPH,SK752,SZS752,1662969208,1662973613
291,291,AYT,DME,TK3732,THY8AF,1662969208,1662975097
292,292,,,,PC12,1662969210,1662969210
293,293,SAW,CGN,PC1011,PGT46Z,1662969208,1662975097
294,294,OSR,HRG,QS1340,TVS7LR,1662969191,1662969191
295,295,MHZ,,,HOBO20,1662969206,1662969206
296,296,SZZ,WMI,FR4759,RYR4759,1662969210,1662969393
297,297,BUD,DUS,EW9785,EWG7CU,1662969210,1662969210
298,298,BOJ,BUD,FR7433,RYR7433,1662969210,1662972746
299,299,RZE,,,ATCTEST,1662969162,1662969162
300,300,WAW,LCA,W61551,WZZ1358,1662969206,1662973614
301,301,AYT,VKO,TK3140,THY8DX,1662969208,1662975098
302,302,BGY,BUD,FR8412,RYR1SH,1662969210,1662969210
303,303,BLR,AMS,KL880,KLM880,1662969208,1662973611
304,304,VAR,DUS,SR7219,SDR71BS,1662969209,1662973611
305,305,OTP,TSR,H4253,HYS253,1662969208,1662972113
306,306,BOJ,WAW,W61562,WZZ1581,1662969208,1662973612
307,307,LTN,SCV,W93606,WUK1DW,1662969209,1662969859
308,308,OTP,ATH,A3961,AEE96T,1662969208,1662973613
309,309,IAS,OTP,RO702,ROT702M,1662969209,1662969860
310,310,DXB,DUB,EK161,UAE52HQ,1662969210,1662973611
311,311,,,,YRMDU,1662969208,1662969208
312,312,SOF,OTP,RO292,ROT292U,1662969191,1662969231
313,313,OTP,BER,FR315,RYR87DZ,1662969197,1662973612
314,314,BBU,AMS,,NJE833C,1662969210,1662969210
315,315,CRL,OTP,FR2101,RYR91XV,1662969135,1662969135
316,316,KIV,OTP,RO202,ROT202N,1662969209,1662969394
317,317,OTP,PMO,FR8501,RYR8FD,1662969208,1662973614
318,318,MAA,LHR,BA36,BAW36,1662969208,1662973613
319,319,KIV,IST,TK270,THY4PT,1662969210,1662972615
320,320,,,,CL60,1662969207,1662969207
321,321,AYT,KIV,TI4401,TWI4401,1662969208,1662969862
322,322,CGN,CTA,AYY118,AYY118,1662969210,1664391984
323,323,ZRH,BER,LX976,SWR92P,1662969208,1662971374
324,324,VCE,LHR,BA599,BAW599,1662969210,1662973612
325,325,IST,STR,TK1701,THY2YS,1662969209,1662971297
326,326,,,,GA6C,1662969207,1662969207
327,327,WAW,TFS,,ENT76GB,1662969210,1662969210
328,328,MUC,,,,1662969169,1662969169
329,329,,,,DMKMR,1662969209,1662969209
