ID,iatatag,name,country,lat,lon
4611,ALL,Villanova D'Albenga International Airport,IT,8.12743,44.050598
4612,GOA,Genoa Cristoforo Colombo Airport,IT,8.8375,44.4133
4613,LIN,Milano Linate Airport,IT,9.27674,45.445099
4614,PMF,Parma Airport,IT,10.2964,44.824501
4615,AOT,Aosta Airport,IT,7.36872,45.738499
4616,CUF,Cuneo International Airport,IT,7.62322,44.547001
4617,AVB,Aviano Air Base,IT,12.596503,46.031898
4618,BZO,Bolzano Airport,IT,11.3264,46.460201
4619,UDN,Udine-Campoformido Air Base,IT,13.1868,46.0322
4620,BLQ,Bologna Guglielmo Marconi Airport,IT,11.2887,44.5354
4621,TSF,Treviso-Sant'Angelo Airport,IT,12.1944,45.648399
4622,FRL,ForlÃ¬ Airport,IT,12.0701,44.194801
4623,VBS,Brescia Airport,IT,10.3306,45.428902
4624,TRS,TriesteâFriuli Venezia Giulia Airport,IT,13.4722,45.827499
4625,RMI,Federico Fellini International Airport,IT,12.6117,44.020302
4626,VIC,Vicenza Airport,IT,11.5295,45.573399
4627,QPA,Padova Airport,IT,11.8479,45.395802
4628,VRN,Verona Villafranca Airport,IT,10.8885,45.395699
4629,AOI,Ancona Falconara Airport,IT,13.3623,43.616299
4630,VCE,Venice Marco Polo Airport,IT,12.3519,45.505299
4631,LCV,Lucca-Tassignano Airport,IT,10.577928,43.825825
4632,QRT,Rieti Airport,IT,12.8517,42.4272
4633,SAY,Siena-Ampugnano Airport,IT,11.255,43.256302
4634,QLP,Sarzana-Luni Air Base,IT,9.98795,44.088001
4635,CIA,CiampinoâG. B. Pastine International Airport,IT,12.5949,41.7994
4636,FCO,Leonardo da VinciâFiumicino Airport,IT,12.2388889,41.8002778
4637,QSR,Salerno Costa d'Amalfi Airport,IT,14.9113,40.620399
4638,EBA,Marina Di Campo Airport,IT,10.2394,42.7603
4639,QLT,Latina Air Base,IT,12.909,41.5424
4640,NAP,Naples International Airport,IT,14.2908,40.886002
4641,PSA,Pisa International Airport,IT,10.3927,43.683899
4642,FLR,Peretola Airport,IT,11.2051,43.810001
4643,GRS,Grosseto Air Base,IT,11.0719,42.759701
4644,PEG,Perugia San Francesco d'Assisi â Umbria International Airport,IT,12.5132,43.095901
4645,LJU,Ljubljana JoÅ¾e PuÄnik Airport,SI,14.4576,46.223701
4646,MBX,Maribor Airport,SI,15.686100006103516,46.47990036010742
4647,POW,Portoroz Airport,SI,13.614999771118164,45.4734001159668
4648,LKC,Lekana Airport,CG,14.606,-2.313
4649,GTW,HoleÅ¡ov Airport,CZ,17.5688992,49.3143997
4650,UHE,Kunovice Airport,CZ,17.439699172973633,49.02939987182617
4651,KLV,Karlovy Vary International Airport,CZ,12.914999961853027,50.202999114990234
4652,MKA,MariÃ¡nskÃ© LÃ¡znÄ Airport,CZ,12.72469997406,49.922798156738
4653,OSR,Ostrava Leos JanÃ¡Äek Airport,CZ,18.111099243164062,49.6963005065918
4654,OLO,Olomouc Airport,CZ,17.2108,49.587799
4655,PED,Pardubice Airport,CZ,15.73859977722168,50.01340103149414
4656,PRV,PÅerov Air Base,CZ,17.404699325561523,49.42580032348633
