ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"3C656E",52.51,-7.78,279,38000,432,"0134","F-EICD1","A333","D-AIKN",1618580037,"FRA","BOS","",0,0,"DLH7CF",0,"DLH"
"4CA849",51.38,8.97,295,38000,448,"3115","F-EHWO1","B738","EI-EMA",1618580036,"OTP","DUB","FR7347",0,0,"RYR35QU",0,"RYR"
"48AE07",49.97,-7.07,252,37975,471,"7542","F-EICD1","B788","SP-LRH",1618580037,"WAW","PUJ","LO9003",0,-64,"LOT9003",0,"LOT"
"3944F3",49.80,8.04,264,37975,443,"1000","F-EDDC1","A319","F-GRHT",1618580035,"OTP","CDG","AF1889",0,0,"AFR33GX",0,"AFR"
"C02EC1",52.83,-11.59,276,37975,444,"0630","F-EICD1","B789","C-FRSI",1618580034,"FRA","YUL","AC7213",0,0,"ACA7213",0,"ACA"
"40768A",53.53,-2.88,354,37975,396,"5237","F-EGNR5","A20N","G-UZHV",1618580037,"BRS","INV","U2393",0,0,"EZY684D",0,"EZY"
"4B1A67",49.07,2.90,321,37975,421,"5736","F-LFPC1","A320","HB-JZZ",1618580036,"GVA","LGW","U28475",0,-64,"EZS59JC",0,"EZY"
"89610C",53.19,-1.13,98,37000,464,"2257","F-EGQL1","B77W","A6-ECE",1618580036,"DUB","DXB","EK162",0,0,"UAE162",0,"UAE"
"484416",49.27,13.65,125,37000,476,"0154","F-EPWR5","B772","PH-BQM",1618580035,"AMS","DXB","KL427",0,0,"KLM427",0,"KLM"
"440806",48.97,6.77,152,37000,331,"0151","F-LFQB1","C510","OE-FPP",1618580032,"GRQ","LIN","",0,0,"GAC749R",0,"GAC"
"3986ED",52.96,5.33,18,37000,438,"0647","F-EHVB1","E170","F-HBXN",1618580036,"CDG","OSL","AF1774",0,0,"AFR23PJ",0,"AFR"
"8960D6",50.93,8.85,117,37000,470,"0162","F-EDDL2","B77W","A6-EBO",1618580036,"AMS","DXB","EK9744",0,0,"UAE9744",0,"UAE"
"06A122",50.82,-13.00,278,37000,429,"2754","F-EINN4","A35K","A7-ANF",1618580036,"DOH","JFK","",0,0,"QTR7HK",0,"QTR"
"3C70C2",51.21,1.90,104,37000,469,"1161","F-EGMD1","B77L","D-ALFB",1618580036,"DFW","FRA","LH8201",0,0,"GEC8201",0,"GEC"
"8960E0",52.79,1.68,110,37000,475,"2265","F-EHVB1","B77W","A6-EBY",1618580033,"MAN","DXB","EK18",0,0,"UAE18",0,"UAE"
"A2A3B5",51.67,-6.43,266,37000,462,"2514","F-EICD1","B789","N26966",1618580037,"FRA","IAH","UA47",0,-64,"UAL47",0,"UAL"
