ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"3C670E",52.35,5.29,131,43000,491,"0516","F-EDLE1","A359","D-AIXN",1618580300,"LAX","MUC","LH453",0,0,"DLH453",0,"DLH"
"A0FA8B",52.75,-10.13,276,43000,453,"6303","F-EINN2","GLEX","N162QS",1618580301,"NHT","","",0,-64,"N162QS",0,"EJA"
"",53.81,8.57,242,42975,517,"3520","F-EDVM1","C750","",1618580301,"","","",0,0,"C750",0,""
"491185",49.69,-2.64,212,41000,482,"5242","F-LFRI1","F2TH","CS-DLE",1618580298,"FAB","TFS","",0,0,"NJE693M",0,"NJE"
"4BCDE7",49.45,12.80,115,41000,441,"7706","F-EPWR6","B738","TC-SOG",1618580294,"FRA","ADB","XQ971",0,0,"SXS2RM",0,"SXS"
"4B17E6",48.78,2.86,108,41000,443,"2016","F-EGKA3","BCS1","HB-JBI",1618580301,"LHR","ZRH","LX333",0,0,"SWR30K",0,"SWR"
"48C12E",52.06,6.31,94,41000,437,"2007","F-EDHN2","B738","SP-RKO",1618580301,"LTN","KRK","FR1813",0,0,"RYR9BT",0,"RYR"
"06A2E7",48.76,3.97,108,41000,487,"7242","F-EHWO1","B789","A7-BHD",1618580301,"LHR","DOH","QR8865",0,0,"QTR41AG",0,"QTR"
"AA3086",51.39,0.26,100,40975,490,"1152","F-EGNX4","B744","N756CA",1618580299,"CVG","HHN","N8606",0,0,"NCR606",0,"NCR"
"4402FF",49.58,11.64,308,40000,416,"1000","F-LKKV1","C25B","OE-GMB",1618580299,"LNZ","","",0,0,"MOZ309",0,"MOZ"
"4AC999",52.39,12.50,200,40000,439,"3114","F-EDDV4","H25B","SE-RLY",1618580301,"BMA","","",0,-64,"GFM6Y",0,"GFM"
"3E48E5",48.98,1.51,37,40000,360,"1055","F-LFRI1","C25A","D-ISUN",1618580301,"ALC","","",0,-64,"ECA5C",0,"ECA"
"",50.08,12.44,243,40000,471,"7201","F-LKPR3","CL35","",1618580300,"","","",0,128,"CL35",0,""
"4B17E0",50.29,13.13,243,40000,446,"1000","F-EDMO1","BCS1","HB-JBC",1618580301,"WAW","ZRH","LX1349",0,0,"SWR164J",0,"SWR"
"86E4DA",53.07,3.05,211,39475,498,"2254","F-EGGW2","B789","JA868J",1618580290,"HND","LHR","JL43",0,-1088,"JAL43",0,"JAL"
"A15EBC",51.56,-7.69,265,39000,434,"4424","F-EGHD3","B763","N188DN",1618580300,"BRU","JFK","DL3455",0,0,"DAL3455",0,"DAL"
"4D22E7",49.62,6.12,150,39000,404,"3160","F-EDDV5","","",1618580292,"RTM","","",0,0,"HYP032",0,""
"392AF5",49.31,4.88,72,39000,416,"0653","F-LFLO2","A320","F-GKXV",1618580300,"CDG","OSR","AF364V",0,0,"AFR364V",0,"AFR"
"484B92",49.52,7.81,167,39000,443,"1000","F-EDDK3","B737","PH-BGL",1618580300,"AMS","MXP","KL1631",0,0,"KLM1631",0,"KLM"
"3950CB",53.21,-3.72,117,39000,439,"6316","F-EGBE3","A318","F-GUGL",1618580300,"DUB","CDG","AF1817",0,-64,"AFR84UW",0,"AFR"
"4B188A",48.93,-1.86,98,39000,447,"5221","F-LFRI1","A333","HB-JHQ",1618580298,"PUJ","ZRH","WK35",0,0,"EDW35Y",0,""
