ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"471F84",49.67,11.22,108,39000,442,"7663","F-LKPR8","A320","HA-LYI",1618580299,"HHN","VAR","W64542",0,0,"WZZ204",0,"WZZ"
"406A34",54.06,-4.87,117,39000,486,"4221","F-EICD1","B77W","G-STBI",1618580299,"LAX","LHR","BA268",0,0,"BAW268",0,"BAW"
"896539",49.15,13.80,119,38975,493,"1176","F-LOWW5","B789","A6-BNB",1618580300,"MAN","AUH","EY22",0,-64,"ETD43U",0,"ETD"
"A254DA",51.13,-13.87,280,38975,450,"2533","F-EIKY3","B789","N24976",1618580298,"FRA","ORD","UA906",0,0,"UAL906",0,"UAL"
"89653E",49.61,12.58,119,38975,492,"0161","F-EDMO3","B78X","A6-BMG",1618580301,"AMS","AUH","EY78",0,0,"ETD53S",0,"ETD"
"A14BDD",53.77,-2.78,107,38975,499,"6255","F-EIDW6","B789","N183AM",1618580299,"MEX","AMS","AM25",0,-64,"AMX025",0,"AMX"
"4CAA61",50.12,6.03,305,38025,442,"0606","F-EHVB1","B738","EI-EXF",1618580298,"ATH","STN","FR14",0,0,"RYR66TH",0,"RYR"
"4B1A67",49.48,2.41,321,38025,421,"5736","F-LFSR3","A320","HB-JZZ",1618580301,"GVA","LGW","U28475",0,0,"EZS59JC",0,"EZY"
"4B1A27",50.82,9.60,8,38025,408,"6706","F-EDVM1","A320","HB-JXN",1618580301,"BSL","CPH","U21151",0,0,"EZS28AB",0,"EZY"
"3944F3",49.75,7.20,263,38000,445,"1000","F-EDDL2","A319","F-GRHT",1618580301,"OTP","CDG","AF1889",0,0,"AFR33GX",0,"AFR"
"4B17FC",50.08,12.45,241,38000,448,"4511","F-LKPR8","BCS3","HB-JCE",1618580299,"LED","ZRH","LX1311",0,64,"SWR1311",0,"SWR"
"4CA849",51.61,8.18,295,38000,445,"3115","F-EDVM1","B738","EI-EMA",1618580301,"OTP","DUB","FR7347",0,0,"RYR35QU",0,"RYR"
"3C6756",53.06,2.04,281,38000,451,"0627","F-EHWO3","A320","D-AIZV",1618580299,"DUS","MAN","EW9344",0,0,"EWG47U",0,"EWG"
"C038AC",49.40,-1.77,277,38000,498,"0652","F-LFQT1","B789","C-FVLZ",1618580299,"CDG","YUL","AC871",0,-64,"ACA871",0,"ACA"
"40775C",52.18,5.96,265,38000,445,"3116","F-EDVM1","B738","G-RUKA",1618580301,"KBP","STN","RK3678",0,0,"RUK3678",0,"RYR"
"4D21FD",49.70,9.98,293,38000,439,"3112","F-EDRZ1","B738","9H-QAM",1618580301,"OTP","STN","FR1008",0,0,"RYR8WN",0,"RYR"
"3C656E",52.60,-8.64,278,38000,438,"0134","F-EINN2","A333","D-AIKN",1618580301,"FRA","BOS","",0,0,"DLH7CF",0,"DLH"
"39CF02",50.93,-14.14,278,38000,419,"5645","T-EIKY1","","",1618580298,"","","",0,0,"AFR688",0,""
"3C6562",52.93,-13.51,274,38000,427,"2543","F-EIKY1","A333","D-AIKB",1618580293,"FRA","IAD","LH418",0,0,"DLH418",0,"DLH"
"4078B8",51.52,-5.63,268,38000,472,"6305","F-EGOV2","A35K","G-XWBE",1618580301,"LHR","MIA","BA209",0,0,"BAW209",0,"BAW"
"40768A",54.01,-2.99,352,38000,398,"5237","F-EGBB2","A20N","G-UZHV",1618580300,"BRS","INV","U2393",0,-64,"EZY684D",0,"EZY"
"C02EC1",52.88,-12.44,275,38000,446,"0630","F-EICK1","B789","C-FRSI",1618580284,"FRA","YUL","AC7213",0,0,"ACA7213",0,"ACA"
"48AE07",49.79,-7.91,251,38000,469,"7542","F-EGFF2","B788","SP-LRH",1618580300,"WAW","PUJ","LO9003",0,0,"LOT9003",0,"LOT"
"4BB26B",51.63,-0.43,275,38000,443,"3246","F-EGXH2","A21N","TC-LSK",1618580297,"IST","DUB","TK1977",0,0,"THY99D",0,"THY"
"3C6585",48.87,3.41,66,37975,433,"1000","F-LFPT2","","",1618580299,"","","",0,0,"DLH67X",0,""
"4CA757",49.71,9.71,326,37975,460,"1000","F-LKPR8","A320","EI-DSY",1618580296,"FCO","AMS","AZ110",0,0,"AZA74F",0,"AZA"
"39C427",49.32,-1.43,279,37975,489,"5643","F-LFRQ4","B789","F-HRBH",1618580300,"CDG","BOS","AF334",0,0,"AFR334",0,"AFR"
"8964C1",50.29,7.43,104,37800,471,"7152","F-EHWO1","B789","A6-BLQ",1618580292,"BRU","AUH","EY58",0,640,"ETD98V",0,"ETD"
"405F31",51.89,9.08,98,37075,450,"2003","F-EDVM1","B763","G-DHLF",1618580298,"EMA","LEJ","D0981",0,-1920,"DHK981",0,"DHK"
"3986ED",53.46,5.60,18,37000,440,"0647","F-EHTW2","E170","F-HBXN",1618580300,"CDG","OSL","AF1774",0,0,"AFR23PJ",0,"AFR"
"06A122",50.89,-13.80,278,37000,419,"2754","F-EIKY3","A35K","A7-ANF",1618580298,"DOH","JFK","",0,0,"QTR7HK",0,"QTR"
"89610C",53.10,-0.20,99,37000,466,"2257","F-EGQL1","B77W","A6-ECE",1618580299,"DUB","DXB","EK162",0,0,"UAE162",0,"UAE"
"440806",48.61,7.06,152,37000,328,"0151","F-LFSQ1","C510","OE-FPP",1618580301,"GRQ","LIN","",0,0,"GAC749R",0,"GAC"
"8960E0",52.58,2.58,111,37000,472,"2265","F-EHWO4","B77W","A6-EBY",1618580300,"MAN","DXB","EK18",0,0,"UAE18",0,"UAE"
"3C70C2",51.07,2.77,104,37000,461,"1161","F-EGNX5","B77L","D-ALFB",1618580299,"DFW","FRA","LH8201",0,0,"GEC8201",0,"GEC"
"8960D6",50.67,9.65,117,37000,469,"0162","F-EDJA1","B77W","A6-EBO",1618580298,"AMS","DXB","EK9744",0,0,"UAE9744",0,"UAE"
"A2A3B5",51.63,-7.32,265,36975,464,"2514","F-EGHD3","B789","N26966",1618580300,"FRA","IAH","UA47",0,0,"UAL47",0,"UAL"
"471F36",50.96,8.36,115,36975,428,"1000","F-EHWO4","A21N","HA-LVI",1618580300,"EIN","OTP","W63072",0,256,"WZZ9MX",0,"WZZ"
"A05646",50.25,2.99,126,36975,495,"1164","F-EGKA3","B78X","N12010",1618580301,"EWR","TLV","UA90",0,-64,"UAL90",0,"UAL"
"471F68",51.21,8.28,285,36025,466,"3111","F-ETID3","A321","HA-LXG",1618580299,"BUD","LTN","W62205",0,64,"WZZ37",0,"WZZ"
"4BA95A",50.65,9.77,283,36000,492,"3266","F-EDVM1","","",1618580301,"","","",0,0,"THY3UM",0,""
"4D2233",51.04,7.51,248,36000,453,"1111","F-EHRD5","B738","9H-QBY",1618580296,"BER","LIS","FR1142",0,0,"RYR68YD",0,"RYR"
"AA28F2",52.58,-8.51,278,36000,435,"2503","F-EINN2","B772","N754AN",1618580301,"FRA","ORD","AA9818",0,0,"AAL9818",0,"AAL"
"",52.58,5.47,246,36000,454,"1132","F-EGNJ2","E55P","",1618580300,"","","",0,-64,"E55P",0,""
"3965A3",51.38,4.38,198,36000,503,"3533","F-EGSH3","B77W","F-GZND",1618580301,"NRT","CDG","AF275",0,0,"AFR275",0,"AFR"
"E48BA9",48.97,3.08,71,36000,459,"1000","F-LFOB1","B77W","PT-MUG",1618580299,"GRU","FRA","LA8070",0,0,"TAM8070",0,"LAN"
"46B821",50.45,5.23,303,36000,453,"3120","F-EDKA3","A21N","SX-NAA",1618580297,"ATH","LHR","A3602",0,-64,"AEE2EG",0,"AEE"
"AA9093",51.52,-7.04,278,36000,456,"6315","F-EICK1","B772","N780AN",1618580300,"LHR","PHL","AA729",0,0,"AAL729",0,"AAL"
"C01074",51.88,-4.79,278,35975,470,"1414","F-EGTR2","B789","C-FGFZ",1618580301,"LHR","YYZ","AC857",0,-64,"ACA857",0,"ACA"
"C0293E",51.62,3.77,275,35975,503,"2536","F-EDLW2","B789","C-FPQB",1618580300,"FRA","ATL","AC7237",0,64,"ACA7237",0,"ACA"
"",50.85,3.82,103,35025,344,"0510","T-MLAT1","C525","",1618580296,"","","",0,0,"C525",0,""
"06A066",50.80,1.71,124,35000,474,"5212","F-EGLL2","B77L","A7-BBA",1618580300,"ORD","DOH","QR724",0,0,"QTR7CB",0,"QTR"
"A983B7",54.13,-5.44,119,35000,481,"1160","F-EGQL1","B744","N712CK",1618580299,"LAX","BRU","K4335",0,0,"CKS335",0,"CKS"
"3965A9",50.86,-13.48,278,35000,422,"5644","F-EINN4","","",1618580296,"","","",0,0,"AFR054",0,""
"8964A3",49.10,10.61,114,35000,473,"7710","F-LKKV3","B77W","A6-EQK",1618580290,"FRA","DXB","EK46",0,0,"UAE46",0,"UAE"
"4B17E1",49.57,8.94,189,34975,423,"1107","F-EDDC1","BCS1","HB-JBD",1618580298,"HAM","ZRH","LX1057",0,-64,"SWR109A",0,"SWR"
"4D0113",51.82,-2.31,101,34975,475,"1142","F-EGBE2","B748","LX-VCJ",1618580301,"JFK","LUX","",0,0,"CLX69Z",0,"CLX"
"406D8E",52.12,-0.70,333,34775,374,"1425","F-EGKK1","A320","G-EZOI",1618580299,"LGW","EDI","U2809",0,832,"EZY635P",0,"EZY"
"3986EB",50.19,11.80,270,34200,413,"1000","F-LKVO1","E170","F-HBXL",1618580301,"PRG","CDG","AF1083",0,1728,"AFR59LD",0,"AFR"
"503DBF",49.97,6.57,252,34025,461,"0504","F-ETID2","A320","LY-NVV",1618580294,"VNO","TFS","X9531",0,0,"NVD531",0,"NVD"
"3965A1",50.17,-7.82,283,34000,431,"0650","F-EICK1","B77W","F-GZNB",1618580300,"CDG","JFK","AF6",0,0,"AFR006",0,"AFR"
"4CA9BA",52.59,-9.35,247,34000,426,"3607","F-EIBN1","A21N","EI-LRA",1618580299,"DUB","BOS","EI133",0,0,"EIN13J",0,"EIN"
"C01755",52.08,-8.37,271,34000,450,"2523","F-EINN2","B77W","C-FIVS",1618580300,"FRA","YYZ","AC7211",0,0,"ACA7211",0,"ACA"
"4BB154",54.08,-8.62,279,34000,444,"3275","F-EINN2","B77L","TC-LJT",1618580301,"ISL","JFK","TK6663",0,0,"THY6663",0,"THY"
"06A2B0",49.10,-9.97,270,34000,449,"7517","F-EGHE3","B77W","A7-BEL",1618580300,"DOH","IAD","QR707",0,0,"QTR04C",0,"QTR"
"4CAFD0",52.43,-6.83,212,33850,447,"3610","F-EINN2","B738","EI-GXK",1618580301,"DUB","LIS","FR7138",0,1536,"RYR188V",0,"RYR"
"600B21",50.01,9.47,98,33450,477,"3507","F-ELLX3","B744","4K-SW888",1618580296,"LUX","GYD","7L262",0,1536,"AZG262",0,"AZG"
"51011A",51.79,13.68,67,33000,432,"7651","F-EPKO3","E195","EW-532PO",1618580299,"FRA","MSQ","B2894",0,64,"BRU894",0,"BRU"
"06A30B",50.74,-12.26,279,33000,438,"3502","F-EINN4","B77L","A7-BFX",1618580300,"LUX","ATL","QR8141",0,0,"QTR8141",0,"QTR"
"04008D",52.14,12.64,77,33000,454,"7101","F-EDVM1","B77L","ET-ARK",1618580300,"LGG","PVG","ET3778",0,0,"ETH3778",0,"ETH"
"424323",49.74,12.21,101,33000,459,"7647","F-LKKV1","B744","VP-BCI",1618580299,"HHN","","U39306",0,0,"SAY9306",0,"SAY"
"51007F",52.08,2.23,73,32975,429,"2020","F-EGSH4","E195","EW-399PO",1618580301,"LGW","MSQ","B2852",0,960,"BRU852",0,"BRU"
"",52.59,-5.55,151,32925,421,"5207","F-EGNS2","C68A","",1618580299,"","","",0,1920,"C68A",0,""
"3C4DCD",49.11,11.71,297,32850,449,"1000","F-LKPM1","CRJ9","D-ACNM",1618580292,"TSR","FRA","LH1471",0,-960,"DLH7EP",0,"DLH"
"",49.33,8.33,275,32800,457,"3206","F-EDRZ1","LJ45","",1618580301,"","","",0,-2304,"LJ45",0,""
"8963DB",51.78,6.48,124,32775,467,"3153","F-EDLW2","B77W","A6-EPL",1618580300,"AMS","DXB","EK148",0,1920,"UAE148",0,"UAE"
"4BCCAF",51.73,11.82,123,32650,422,"1121","F-EDVM1","B738","TC-SEO",1618580301,"HAJ","ADB","XQ975",0,1728,"SXS7U",0,"SXS"
"4CA8E5",52.25,-2.93,191,32500,485,"2005","F-EGNO2","B738","EI-ENS",1618580299,"MAN","FAO","FR4088",0,1984,"RYR8AP",0,"RYR"
"48548C",51.35,6.95,143,32325,456,"3144","F-EDWI3","E75L","PH-EXK",1618580299,"AMS","BLQ","KL1591",0,1344,"KLM73C",0,"KLM"
"89610E",51.24,1.60,101,32200,462,"2274","F-EGMH1","B77W","A6-ECG",1618580301,"LHR","DXB","EK2",0,2368,"UAE2",0,"UAE"
"4843F2",53.86,-8.24,274,32000,460,"2120","F-EINN2","B772","PH-BQO",1618580301,"AMS","MEX","KL685",0,0,"KLM685",0,"KLM"
"3C4B24",51.27,-12.29,261,31975,459,"2550","F-EINN4","B748","D-ABYD",1618580300,"FRA","MEX","LH498",0,0,"DLH498",0,"DLH"
"",50.90,-1.34,258,31275,465,"4427","F-EGSC2","CL35","",1618580298,"","","",0,-2240,"CL35",0,""
"040156",51.89,9.50,63,31000,451,"7111","F-EDVM1","B77L","ET-AVN",1618580297,"LGG","CAN","ET3606",0,0,"ETH3606",0,"ETH"
"394A65",51.86,7.64,208,30975,419,"1135","F-EDVM1","A3ST","F-GSTF",1618580298,"XFW","TLS","",0,0,"BGA131F",0,"BGA"
"",49.47,-0.58,9,30875,395,"5335","F-EGKA3","E55P","",1618580301,"","","",0,-2304,"E55P",0,""
"4CA8D9",52.57,-2.88,180,30425,452,"2251","F-EGNR5","B738","EI-ENN",1618580299,"MAN","AGP","FR3232",0,896,"RYR2UM",0,"RYR"
"44CCC3",48.89,2.77,194,30350,471,"7141","F-EHWO1","A333","OO-SFC",1618580300,"BRU","DLA","SN369",0,960,"BEL369",0,"BEL"
"4BA9CB",53.29,0.28,284,29650,437,"3221","F-EGNV2","A333","TC-JNK",1618580300,"IST","MAN","TK1995",0,-2112,"THY2AL",0,"THY"
"3C6441",49.34,11.02,295,29450,425,"1000","F-EDDE1","A319","D-AIBA",1618580300,"BUD","FRA","LH1339",0,-896,"DLH2FR",0,"DLH"
"44CCC5",49.28,2.92,204,29300,472,"7121","F-EHWO1","A333","OO-SFE",1618580301,"BRU","ABJ","SN319",0,832,"BEL319P",0,"BEL"
"3C6750",50.46,11.23,271,29050,414,"1000","F-EDJA1","A320","D-AIZP",1618580301,"WAW","FRA","LH1349",0,-1344,"DLH8HR",0,"DLH"
"40756F",52.91,-2.50,130,29025,405,"1427","F-EGBJ1","A320","G-EZGY",1618580301,"BFS","STN","U2264",0,0,"EZY264",0,"EZY"
"",49.49,5.02,256,28125,488,"1000","F-EDRZ1","","",1618580301,"","","",0,-2496,"BLOCKED",0,""
"401087",52.22,7.09,266,28100,303,"1105","F-EDLW1","BE20","G-MEGN",1618580299,"BER","","",0,64,"CBM88",0,"CBM"
"",52.16,10.31,131,28000,351,"1330","F-EDVM1","C510","",1618580301,"","","",0,0,"C510",0,""
"AE0598",53.10,8.56,31,28000,384,"0717","T-MLAT1","K35R","59-1521",1618580296,"AAH","","",0,0,"",0,"RCH"
"451CC1",49.41,9.43,128,27850,393,"7665","F-EDQG1","E190","LZ-PLO",1618580298,"FRA","SOF","FB438",0,1728,"LZB438",0,"LZB"
"896118",50.67,8.01,134,27375,460,"6424","F-EDDF4","B77W","A6-ECQ",1618580300,"DUS","DXB","EK56",0,1984,"UAE56",0,"UAE"
"49D0C2",50.03,12.99,74,27325,400,"1165","F-LKMR2","BE4W","OK-PFY",1618580301,"NCL","","",0,-512,"TIE307F",0,"TIE"
"",51.82,-3.38,107,27000,444,"1415","F-EGGW2","GLF6","",1618580296,"","","",0,0,"GLF6",0,""
"3D7F46",52.57,9.59,180,27000,293,"1134","F-EDXY1","PC12","D-FULI",1618580300,"HAM","","",0,0,"DFULI",0,""
"3C670A",49.29,10.13,115,26500,419,"7655","F-EDRZ1","A359","D-AIXJ",1618580301,"FRA","BKK","LH772",0,1216,"DLH772",0,"DLH"
"40749A",51.65,-3.63,266,26100,487,"4220","F-EGLK3","B789","G-ZBKS",1618580300,"LHR","DFW","BA193",0,832,"BAW31F",0,"BAW"
"3C5EFA",52.24,10.51,257,26000,381,"1137","F-EDDV4","A319","D-AGWZ",1618580301,"BER","DUS","EW8044",0,0,"GWI6AX",0,"EWG"
"486258",52.44,5.68,84,25925,365,"1000","F-EDWE1","E295","PH-NXB",1618580298,"AMS","BER","KL1829",0,2560,"KLM1829",0,"KLM"
"449825",50.02,2.67,41,25675,353,"2360","F-LFPT2","FA7X","OO-FAE",1618580299,"BES","","",0,-1856,"BAF99",0,"BAF"
"48C227",51.89,1.18,74,24750,380,"0512","F-EGTR2","B738","SP-RSH",1618580298,"STN","POZ","FR2336",0,2752,"RYR35AZ",0,"RYR"
"486257",53.02,4.40,355,24625,374,"3176","F-EDDG2","E295","PH-NXA",1618580299,"AMS","BGO","KL1189",0,1984,"KLM33Y",0,"KLM"
"86E3EC",50.65,9.73,225,24150,427,"2276","F-EDVM1","B789","JA861J",1618580301,"NRT","FRA","JL407",0,-2048,"JAL407",0,"JAL"
"400CB9",54.20,-5.54,218,24000,270,"4217","T-MLAT1","SF34","G-LGNI",1618580298,"ABZ","ORK","",0,0,"LOG890P",0,"LOG"
"44AAE2",49.77,6.17,344,24000,267,"5774","F-LFSR3","PC12","OO-JWB",1618580301,"SIR","","",0,0,"OOJWB",0,"JNL"
"4D00D6",50.70,4.86,314,24000,316,"3501","F-EHWO4","DH8D","LX-LQB",1618580300,"LUX","LCY","LG4595",0,64,"LGL4595",0,"LGL"
"4D0140",50.56,5.14,312,23925,472,"3504","F-LFQT1","B744","LX-OCV",1618580300,"LUX","LAX","CV7745",0,1344,"CLX46V",0,"CLX"
"89620C",51.36,6.44,30,23800,414,"3170","F-EDDL2","B77W","A6-EGK",1618580301,"MST","OSL","EK9752",0,2496,"UAE9752",0,"UAE"
"3D6FB7",50.21,8.25,148,23000,272,"3722","F-EDKA1","PC12","D-FOOD",1618580299,"CGN","","",0,0,"DFOOD",0,""
"502C22",49.74,8.73,196,23000,265,"1000","T-MLAT1","SF34","YL-RAE",1618580296,"RIX","","",0,0,"MTL828P",0,"MTL"
"3986E8",49.39,5.29,67,23000,390,"1000","F-LFPG1","E170","F-HBXI",1618580299,"CDG","DUS","AF1406",0,-64,"AFR57TJ",0,"AFR"
"300782",49.21,8.78,356,22350,387,"1000","F-EDMA1","E195","I-ADJW",1618580293,"MXP","FRA","LH253",0,-2496,"DLH7KC",0,"DLA"
"3991E2",48.59,3.63,301,22300,385,"1000","F-LFSR2","A320","F-HEPC",1618580300,"ZRH","CDG","AF1615",0,-960,"AFR57BP",0,"AFR"
"",48.63,8.43,175,21725,407,"2516","F-LFSF1","C68A","",1618580299,"","","",0,-1856,"C68A",0,""
"4074B5",49.82,-1.99,27,21600,309,"1211","F-EGJJ1","A20N","G-UZHE",1618580301,"JER","LGW","U2894",0,3328,"EZY48AV",0,"EZY"
"448466",51.09,6.81,51,21200,431,"7161","F-EDKA3","B744","OO-ACF",1618580291,"LGG","WUH","X7281",0,1600,"CHG281",0,"FRH"
"",51.69,-1.00,359,21000,248,"4224","F-EGLF2","E50P","",1618580296,"","","",0,0,"E50P",0,""
"4D2220",48.88,0.82,40,20900,294,"1153","F-LFOP2","B738","9H-QBM",1618580300,"LIS","BVA","FR1083",0,-1664,"RYR6NF",0,"RYR"
"44CCD8",50.23,3.69,207,20850,440,"7113","F-EBBR3","A333","OO-SFX",1618580299,"BRU","FNA","SN241",0,1216,"BEL241W",0,"BEL"
"A48B4B",52.04,-8.82,99,20825,197,"6317","F-EICK3","P46T","N392MA",1618580301,"KIR","","",0,1408,"N392MA",0,""
"4BCDE4",51.11,7.40,138,20700,364,"7657","F-EDKA3","B738","TC-SOD",1618580300,"DUS","ADB","XQ959",0,2880,"SXS6JN",0,"SXS"
"3951C1",49.74,3.63,200,20675,397,"3510","F-LFSR3","B77L","F-GUOB",1618580295,"NRT","CDG","AF6725",0,-960,"AFR6725",0,"AFR"
"4CA293",51.98,-6.98,276,20650,391,"5665","F-EICM2","A320","EI-DEM",1618580299,"LHR","ORK","EI715",0,-2176,"EIN715",0,"EIN"
"4853F4",52.30,2.92,94,19500,340,"6251","F-EHAM3","E75L","PH-EXJ",1618580299,"ORK","AMS","KL1088",0,-1920,"KLM1088",0,"KLM"
"3D68E2",49.79,11.38,191,19375,240,"6325","T-MLAT1","P46T","D-FLYW",1618580296,"LEJ","","",0,-960,"DFLYW",0,""
"76CDA8",51.72,1.18,263,19225,399,"3107","F-EGCN1","A359","9V-SMH",1618580298,"SIN","LHR","SQ308",0,-2496,"SIA308",0,"SIA"
"781941",50.70,8.73,343,19100,389,"7641","F-EDLW2","B77L","B-20EN",1618580300,"FRA","PVG","CZ462",0,2048,"CSN462",0,"CSN"
"480C03",52.60,-0.10,101,18738,254,"3310","T-MLAT1","C130","G-273",1618580298,"CBG","","",0,-1664,"NAF21",0,"NAF"
"867F8A",49.50,3.51,205,18050,400,"3514","F-EBKT2","B77W","JA732J",1618580295,"HND","CDG","JL45",0,-1920,"JAL45",0,"JAL"
"3C6449",49.57,8.53,182,17250,397,"1000","F-EDDS4","A319","D-AIBI",1618580300,"FRA","FCO","LH236",0,3712,"DLH236",0,"DLH"
"400A76",51.44,-3.31,6,17075,240,"0502","F-EGHD3","BE20","G-CIFE",1618580300,"EXT","BLK","",0,0,"BRO39",0,"BRO"
"3CE25A",52.13,0.62,93,16937,272,"0520","T-MLAT1","SW4","D-CNAG",1618580296,"BHX","ESS","",0,128,"BID2A",0,""
"4D00F6",49.45,7.15,277,16250,378,"3201","F-EDDL2","B738","LX-LGU",1618580298,"DXB","LUX","LG9002",0,-1920,"LGL9002",0,"LGL"
"71C252",49.80,9.47,291,15775,380,"1000","F-EDDS4","B77L","HL8252",1618580296,"BUD","FRA","KE543",0,-1344,"KAL543",0,"KAL"
"48436A",52.22,4.07,236,15075,407,"2127","F-EHWO3","B772","PH-BQC",1618580299,"AMS","CUR","KL735",0,2176,"KLM129",0,"KLM"
"399160",49.07,1.70,294,15000,391,"3304","T-MLAT1","E145","F-HELA",1618580296,"LBG","","",0,0,"VLJ470W",0,"VLJ"
"4078AD",50.06,-1.98,24,15000,310,"1247","F-EGTE3","C25A","G-ILBG",1618580301,"GCI","","",0,0,"VCG3BG",0,"VCG"
"406A9F",51.08,0.42,315,14875,341,"0513","F-EGMH1","B788","G-ZBJH",1618580301,"DXB","LHR","BA104",0,-1856,"BAW104",0,"BAW"
"0A0097",48.83,2.52,200,14375,276,"7624","F-LFOB1","C56X","7T-VNM",1618580298,"LBG","","",0,3584,"7TVNM",0,""
"4CA61E",52.02,1.26,269,13700,372,"6620","F-EGLK2","B738","EI-DWR",1618580301,"PRG","STN","FR1014",0,-1920,"RYR9SC",0,"RYR"
"43C408",54.18,-1.29,291,13155,288,"6041","T-MLAT1","HAWK","XX203",1618580296,"","","",0,18432,"SAVAGE1",0,"RFR"
"3D8FDF",49.08,12.46,134,13025,136,"6361","T-MLAT1","PA30","D-GAST",1618580298,"NUE","","",0,0,"DGAST",0,""
"A37A89",49.77,12.66,8,13000,182,"3610","F-LKPR3","PA46","N323MA",1618580300,"RBM","","",0,0,"N323MA",0,""
"4007DA",53.81,-4.17,122,12999,278,"7644","T-MLAT1","E145","G-SAJL",1618580296,"IOM","MAN","LM693",0,0,"LOG28CG",0,"LOG"
"3986EE",49.14,2.75,319,12996,389,"0654","T-MLAT1","E170","F-HBXO",1618580296,"CDG","EDI","AF1486",0,2880,"AFR54PU",0,"AFR"
"48548E",52.29,5.13,122,12950,329,"1000","F-EHRD3","E75L","PH-EXL",1618580299,"AMS","VIE","KL1843",0,3392,"KLM1843",0,"KLM"
"3C70C1",50.46,8.97,23,12900,359,"7640","F-ETID2","B77L","D-ALFA",1618580301,"FRA","PVG","LH8400",0,2432,"GEC8400",0,"GEC"
"4075FF",51.96,-0.95,184,12825,350,"7651","F-EGLL2","A21N","G-NEOR",1618580297,"MAN","LHR","BA1391",0,-3072,"SHT3U",0,"BAW"
"AB00DD",52.48,0.14,228,12587,126,"0033","T-MLAT1","DHC6","N808PC",1618580298,"","","",0,1280,"N808PC",0,""
