ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"",49.17,10.10,279,45000,450,"3206","F-LOWS2","LJ45","",1618579745,"","","",0,-64,"LJ45",0,""
"3C670E",53.18,3.70,129,43000,496,"0516","F-EGLK2","A359","D-AIXN",1618579744,"LAX","MUC","LH453",0,0,"DLH453",0,"DLH"
"48B9C9",48.85,-6.61,182,41000,456,"2017","T-MLAT1","BE40","SP-OOK",1618579742,"DUB","","",0,0,"SAH51P",0,""
"48C12E",52.13,4.47,92,41000,436,"2007","F-EHTW4","B738","SP-RKO",1618579742,"LTN","KRK","FR1813",0,0,"RYR9BT",0,"RYR"
"484B8F",49.91,13.08,111,41000,436,"1000","F-EDMO1","B737","PH-BGH",1618579744,"AMS","BUD","KL1977",0,0,"KLM1977",0,"KLM"
"AA3086",51.60,-1.74,98,40975,495,"1152","F-EGGW2","B744","N756CA",1618579740,"CVG","HHN","N8606",0,0,"NCR606",0,"NCR"
"06A2E7",49.13,2.15,107,40975,486,"7242","F-EGKK2","B789","A7-BHD",1618579744,"LHR","DOH","QR8865",0,0,"QTR41AG",0,"QTR"
"A0FA8B",52.59,-8.24,278,40175,447,"6303","F-EIKN2","GLEX","N162QS",1618579744,"NHT","","",0,1088,"N162QS",0,"EJA"
"76CDA8",51.87,3.00,262,40050,492,"3107","F-EGKA3","A359","9V-SMH",1618579744,"SIN","LHR","SQ308",0,-640,"SIA308",0,"SIA"
"4AC999",53.43,13.17,201,40000,434,"3114","F-ESMT5","H25B","SE-RLY",1618579745,"BMA","","",0,0,"GFM6Y",0,"GFM"
"",49.54,6.82,273,40000,458,"1000","F-EDLW2","","",1618579744,"","","",0,0,"BLOCKED",0,""
"4BA9CB",53.04,2.22,281,40000,470,"3221","F-EGSH3","A333","TC-JNK",1618579745,"IST","MAN","TK1995",0,0,"THY2AL",0,"THY"
"86E4DA",54.18,4.02,207,40000,497,"2254","F-EGNV2","B789","JA868J",1618579745,"HND","LHR","JL43",0,0,"JAL43",0,"JAL"
